Generation,FitnessScore,SolvationEnergy,Eisenberg,HelixPropensity
550,17.2892,7.0000,0.3445,1.0981
551,17.2892,7.0000,0.3445,1.0981
552,17.2892,7.0000,0.3445,1.0981
553,17.2892,7.0000,0.3445,1.0981
554,17.2892,7.0000,0.3445,1.0981
555,17.2892,7.0000,0.3445,1.0981
556,17.2892,7.0000,0.3445,1.0981
557,17.2892,7.0000,0.3445,1.0981
558,17.2892,7.0000,0.3445,1.0981
559,17.2892,7.0000,0.3445,1.0981
560,17.2892,7.0000,0.3445,1.0981
561,17.2892,7.0000,0.3445,1.0981
562,17.2892,7.0000,0.3445,1.0981
563,17.2892,7.0000,0.3445,1.0981
564,17.2892,7.0000,0.3445,1.0981
565,17.2892,7.0000,0.3445,1.0981
566,17.2892,7.0000,0.3445,1.0981
567,17.2892,7.0000,0.3445,1.0981
568,17.2892,7.0000,0.3445,1.0981
569,17.2892,7.0000,0.3445,1.0981
570,17.2892,7.0000,0.3445,1.0981
571,17.2892,7.0000,0.3445,1.0981
572,17.2892,7.0000,0.3445,1.0981
573,17.2892,7.0000,0.3445,1.0981
574,17.2892,7.0000,0.3445,1.0981
575,17.2892,7.0000,0.3445,1.0981
576,17.2892,7.0000,0.3445,1.0981
577,17.2892,7.0000,0.3445,1.0981
578,17.2892,7.0000,0.3445,1.0981
579,17.2892,7.0000,0.3445,1.0981
580,17.2892,7.0000,0.3445,1.0981
581,17.2892,7.0000,0.3445,1.0981
582,17.2892,7.0000,0.3445,1.0981
583,17.2892,7.0000,0.3445,1.0981
584,17.2892,7.0000,0.3445,1.0981
585,17.2892,7.0000,0.3445,1.0981
586,17.2892,7.0000,0.3445,1.0981
587,17.2892,7.0000,0.3445,1.0981
588,17.2892,7.0000,0.3445,1.0981
589,17.2892,7.0000,0.3445,1.0981
590,17.2892,7.0000,0.3445,1.0981
591,17.2892,7.0000,0.3445,1.0981
592,17.2892,7.0000,0.3445,1.0981
593,17.2892,7.0000,0.3445,1.0981
594,17.2892,7.0000,0.3445,1.0981
595,17.2892,7.0000,0.3445,1.0981
596,17.2892,7.0000,0.3445,1.0981
597,17.2892,7.0000,0.3445,1.0981
598,17.2892,7.0000,0.3445,1.0981
599,17.2892,7.0000,0.3445,1.0981
600,17.2892,7.0000,0.3445,1.0981
601,17.2892,7.0000,0.3445,1.0981
602,17.2892,7.0000,0.3445,1.0981
603,17.2892,7.0000,0.3445,1.0981
604,17.2892,7.0000,0.3445,1.0981
605,17.2892,7.0000,0.3445,1.0981
606,17.2892,7.0000,0.3445,1.0981
607,17.2892,7.0000,0.3445,1.0981
608,17.2892,7.0000,0.3445,1.0981
609,17.2892,7.0000,0.3445,1.0981
610,17.2892,7.0000,0.3445,1.0981
611,17.2892,7.0000,0.3445,1.0981
612,17.2892,7.0000,0.3445,1.0981
613,17.2892,7.0000,0.3445,1.0981
614,17.2892,7.0000,0.3445,1.0981
615,17.2892,7.0000,0.3445,1.0981
616,17.2892,7.0000,0.3445,1.0981
617,17.2892,7.0000,0.3445,1.0981
618,17.2892,7.0000,0.3445,1.0981
619,17.2892,7.0000,0.3445,1.0981
620,17.2892,7.0000,0.3445,1.0981
621,17.2892,7.0000,0.3445,1.0981
622,17.2892,7.0000,0.3445,1.0981
623,17.2892,7.0000,0.3445,1.0981
624,17.2892,7.0000,0.3445,1.0981
625,17.2892,7.0000,0.3445,1.0981
626,17.2892,7.0000,0.3445,1.0981
